symbol,start_date,end_value,sharpe_ratio
PEPEUSDT,2024-12-07,1152.2885165508787,2.100803424103797
RUNEUSDT,2024-12-08,803.6909581646423,-2.351290736819364
TIAUSDT,2024-12-09,771.6636029411765,-3.0456471540294143
RAYUSDT,2024-12-10,969.3019913775404,-0.01346547682589148
SUIUSDT,2024-12-11,1073.8125773925349,1.8593387868603806
AAVEUSDT,2024-12-12,927.7048730267675,-1.42581751438113
JASMYUSDT,2024-12-13,963.1766998700737,0.13317877999442124
ENAUSDT,2024-12-14,924.8622704507513,-1.0634634683629183
FTMUSDT,2024-12-15,673.4386654912863,-3.035524997893548
RUNEUSDT,2024-12-16,681.8069486844018,-5.778390150903836
GALAUSDT,2024-12-17,855.9625366734372,-1.6986205104357401
WIFUSDT,2024-12-18,996.8445975032286,-5.624493002223133
MOVEUSDT,2024-12-19,1094.5490100219995,1.3910659120398894
MOVEUSDT,2024-12-20,912.006984188573,-0.6389236153781865
APTUSDT,2024-12-21,991.002132196162,-9.257947338992516e-05
ALGOUSDT,2024-12-22,1006.8266433973241,0.4869382348366311
AAVEUSDT,2024-12-23,904.100954554887,-4.269751743536522
PENGUUSDT,2024-12-24,982.2962146467362,0.24544030010547127
MOVEUSDT,2024-12-25,909.3999484934329,-3.5930717580759284
ENAUSDT,2024-12-26,1030.0184162062615,1.1694419873244315
DYDXUSDT,2024-12-27,918.1649765990638,-2.1183264910142454
CRVUSDT,2024-12-28,941.0364284300139,-3.1596138584386115
XTZUSDT,2024-12-29,936.2825278810408,-2.22576953879496
STXUSDT,2024-12-30,1017.6630434782608,0.9400152903126944
OMUSDT,2024-12-31,1040.8528990228015,2.1646690049299524
